ID,AREA,CODSETOR,CODGR,NOMEGR,CODUF,NOMEUF,CODMESO,NOMEMESO,CODMICRO,NOMEMICR,CODRM,NOMERM,CODMUNIC,NOMEMUN,CODDISTR,NOMEDIST,CODSUBD,NOMESUBD,CODBAIRR,NOMEBAIR,SITUACAO,TIPO,REGIAO,ASSPREC,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,HAB8,HAB9,CHE1,CHE2,CHE3,CHE4,CHE5,CHE6,CHE7,V0003,V0004,V0008,V0009,V0010,V0014,V0017,V0018,V0030,V0031,V0036,V0048,V0402,V0494,V0495,V0496,V0497,V0525,V0526,V0527,V0528,V0529,V0580,V0581,V0582,V0583,V0584,V0585,V0586,V0587,V0602,V0603,V0604,V0605,V0611,VAR12,DENSDEMO,ARQUIVO
332,0.07,410690205070026,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,0,2.07,0,35.64,0.99,0,3.68,1.14,20.3,5.94,0,69.8,5.39,62.38,428.19,202,0,0,145,0,0,3,202,128,2,2,202,202,0,2,14,25,12,0,0,0,0,16,,10,23,39,14,10,17,1,19,34,43,29,744,10309,41CURITI
333,0.15,410690205070010,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,0,18.93,0.4,4.84,0.4,0,3.72,1.15,15.32,2.82,0,47.98,6.87,52.02,558.42,248,0,0,160,46,0,39,247,219,17,1,248,248,0,2,16,20,7,0,0,0,0,14,,8,11,51,11,13,7,1,18,40,37,33,923,6224,41CURITI
337,0.59,410690205070036,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,0,0.73,2.13,12.77,0,0.53,3.91,1.11,21.28,6.91,0,68.09,5.51,71.81,430.64,188,0,0,134,3,0,1,184,161,3,0,187,188,0,3,10,27,13,0,0,0,0,21,,5,12,43,19,13,6,0,24,47,43,21,736,1250,41CURITI
339,0.43,410690205070009,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0.4,1.2,1.1,0,0.4,0,0.4,3.73,1.17,24,2.4,0.4,56.4,6.61,51.2,574.2,250,0,3,93,89,1,2,250,182,67,0,249,250,0,3,16,41,6,0,0,0,1,7,,10,19,51,14,8,22,0,24,45,52,7,932,2175,41CURITI
340,0.09,410690205070020,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,2,41.84,2.63,0,0,45.26,3.68,2.63,3.63,1.09,22.11,8.16,0.79,71.84,5.31,67.89,414.89,380,0,10,166,3,159,0,380,90,118,14,370,380,0,3,32,49,31,0,0,2,1,27,,33,34,86,38,14,25,2,43,83,88,42,1379,15879,41CURITI
342,0.04,410690205070025,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0.44,0,1.45,0,0,0,0,3.56,1.16,19.03,2.65,0,56.64,6.72,45.58,567.39,226,0,0,127,80,1,3,226,225,1,0,226,226,0,1,9,33,6,0,0,0,0,9,,7,14,61,8,7,17,0,15,35,33,20,804,20339,41CURITI
343,0.03,410690205080147,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,0,0,0.68,0,0,0,0,3.11,1.01,16.22,0.54,0,45.41,7.63,23.78,924.01,185,0,0,48,99,0,1,185,20,165,0,185,185,0,1,12,17,1,0,0,0,0,1,,3,10,41,15,5,6,0,5,15,22,2,576,17312,41CURITI
344,0.21,410690205080064,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,7.81,0,0,0,0.37,0,0,3.55,1.25,20.07,7.06,0.37,60.59,5.91,50.19,571.79,269,0,0,131,33,21,0,269,254,14,0,269,269,0,2,18,34,19,0,0,0,1,20,,12,33,55,14,8,9,2,30,47,30,26,954,4639,41CURITI
345,0.05,410690205070069,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,2,2.19,1.09,13.27,0.73,28.47,0.36,0,3.69,1.09,22.26,10.22,0.36,72.99,5.16,67.52,435.93,274,0,3,195,31,6,30,272,194,2,1,274,274,0,2,25,34,28,0,0,0,1,25,,10,16,74,25,12,16,1,28,69,54,33,1012,18659,41CURITI
350,0.22,410690205070051,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,0,0.56,0.42,0.85,0,0,3.48,1.4,24.15,1.27,0,33.05,8.56,22.88,1121.07,236,1,0,142,37,0,1,235,112,122,0,236,236,0,1,24,32,3,0,0,0,0,3,,2,5,37,11,8,11,0,2,23,22,7,821,3794,41CURITI
351,0.05,410690205070021,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,0,0,0,72.11,0,0,3.39,1.12,22.45,6.12,0,63.95,5.9,68.03,467.97,147,0,0,99,1,0,0,147,24,17,0,147,147,0,4,15,14,9,0,0,0,0,8,,10,9,33,6,9,11,0,14,34,33,19,498,9831,41CURITI
352,0.02,410690205070023,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,1,401,1,0,0,2.27,0,0,0,0,3.69,1.13,20,13.33,0,82.22,3.89,64.44,411.96,45,0,0,21,23,0,1,45,10,35,0,45,45,0,0,4,5,6,0,0,0,0,11,,5,6,8,1,3,2,1,5,13,5,5,166,10736,41CURITI
353,0.02,410690205070037,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,2,3.88,0,91.49,0,30.1,0,0,3.77,1.06,19.42,4.85,0,70.87,5.41,66.02,445.73,103,0,0,94,0,4,86,103,64,8,0,103,103,0,1,8,11,5,0,0,0,0,6,,5,3,25,12,5,9,0,13,33,13,9,388,18816,41CURITI
354,0.1,410690205070038,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,0.4,38.35,0,33.33,0,0,3.83,1.09,30.95,5.16,0,55.95,6.43,57.94,531.15,252,0,1,196,10,0,79,252,133,35,0,252,252,0,1,23,54,13,0,0,0,0,12,,12,9,46,25,11,14,0,26,64,44,12,964,9805,41CURITI
432,0.15,410690205070083,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,0,401,3,0,0,0.47,0.33,0.98,0,0,3.31,1.21,17.38,5.9,0,58.69,6.2,53.44,614.7,305,0,0,206,9,0,1,304,139,163,0,305,305,0,1,24,28,18,0,0,0,0,25,,15,15,63,24,17,11,1,30,54,56,22,1009,6577,41CURITI
441,0.06,410690205020168,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020502,ADMINISTRACAO REGIONAL DO BOQUEIRAO,410690205057,XAXIM,1,0,401,3,0,0,0,0,0,0,0,3.48,1.38,13.82,1.97,0,52.63,7.03,50.66,646.89,152,0,0,97,5,0,0,152,151,1,0,152,152,0,0,7,14,3,0,0,0,0,8,,7,7,35,7,4,10,0,19,28,14,16,529,9582,41CURITI
442,0.13,410690205020169,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020502,ADMINISTRACAO REGIONAL DO BOQUEIRAO,410690205057,XAXIM,1,0,401,3,0,0,0,0.44,0,0,0,3.42,1.21,15.79,3.07,0,54.82,6.66,48.68,617.45,228,0,0,144,2,0,0,227,220,8,0,228,228,0,3,11,22,7,0,0,0,0,4,,7,18,53,17,5,9,1,19,37,30,24,779,6088,41CURITI
443,0.23,410690205020170,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020502,ADMINISTRACAO REGIONAL DO BOQUEIRAO,410690205057,XAXIM,1,0,401,3,0,0,0,0.4,6.85,0.4,0,3.47,1.34,15.73,3.63,0,56.45,6.9,44.35,718.79,248,0,0,165,3,0,0,247,231,0,1,248,248,0,2,11,26,9,0,0,0,0,11,,14,10,52,21,8,19,1,20,34,35,20,860,3796,41CURITI
449,0.09,410690205070111,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,0,401,3,0,0,0,0,1.04,0,0,3.32,1.36,11.4,2.07,0,47.67,7.12,38.86,990.35,193,0,0,126,16,0,0,193,103,88,0,193,193,0,2,4,16,4,0,0,0,0,6,,9,13,32,11,6,4,0,14,31,19,11,640,7066,41CURITI
450,0.09,410690205070097,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,0,401,3,0,0,22.52,0,22,0,0,3.54,1.33,17.33,4.67,0,50.67,6.98,49.33,698.48,150,0,0,105,6,0,25,150,105,12,0,150,150,0,0,7,19,7,0,0,0,0,8,,10,9,29,11,2,4,1,13,21,27,12,531,5896,41CURITI
451,0.02,410690205070098,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,1,401,1,0,0,78.69,0,100,0,0,3.79,1.06,9.09,18.18,0,78.79,4.39,57.58,512.71,66,0,0,60,1,0,48,66,0,0,0,66,66,0,1,4,1,12,0,0,0,0,12,,1,8,13,8,5,2,0,9,9,18,2,250,14317,41CURITI
453,0.04,410690205070113,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,0,401,3,0,0.82,0,0,0,0,0,3.18,1.43,11.48,2.46,0,51.64,7.07,36.89,757.22,122,0,1,93,2,0,0,122,102,20,0,122,122,0,1,4,9,3,0,0,0,0,5,,5,9,26,6,2,7,0,10,15,15,5,388,8719,41CURITI
454,0.18,410690205070114,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,0,401,2,1.03,0,64.68,0,22.76,1.03,0.34,3.35,1.25,24.48,4.14,0,44.48,7.79,38.97,989.16,290,0,0,157,95,3,163,290,169,55,3,289,290,0,2,21,48,12,0,0,0,0,23,,11,17,44,11,12,4,1,28,38,26,20,972,5382,41CURITI
456,0.09,410690205070110,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205058,CAPAO RASO,1,0,401,3,0,0,0,0,0,0,0,3.29,1.54,8.28,0,0,26.9,9.74,23.45,1372.63,145,0,0,91,28,0,0,145,141,4,0,145,145,0,0,8,4,0,0,0,0,0,0,,2,6,17,3,3,7,0,8,9,12,5,477,5271,41CURITI
465,0.17,410690205060224,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020506,ADMINISTRACAO REGIONAL DO PORTAO (R,410690205041,NOVO MUNDO,1,0,401,3,0,0.96,0,0.64,10.51,0,0.32,3.3,1.28,16.56,2.87,0.32,40.45,8.15,37.26,975.23,314,0,3,201,3,0,0,312,256,25,0,313,314,0,2,18,32,9,0,0,1,0,9,,4,12,54,13,17,9,1,15,48,46,7,1035,6240,41CURITI
475,0.18,410690205060236,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020506,ADMINISTRACAO REGIONAL DO PORTAO (R,410690205041,NOVO MUNDO,1,0,401,3,0.27,0,0.36,0,0,0,0,3.24,1.39,11.2,1.64,0,33.61,9.35,25.41,1428.68,366,0,0,241,37,1,1,366,355,11,0,366,366,0,0,15,26,6,0,0,0,0,6,,11,16,57,12,5,11,0,23,26,29,15,1187,6522,41CURITI
477,0.1,410690205060242,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020506,ADMINISTRACAO REGIONAL DO PORTAO (R,410690205041,NOVO MUNDO,1,0,401,3,0,0,0,0,9.73,0,0,3.62,1.38,10.62,4.87,0,45.58,7.61,39.38,809.12,226,0,0,163,2,0,0,226,186,18,0,226,226,0,2,9,13,11,0,0,0,0,12,,15,6,49,9,2,7,0,20,29,26,14,817,8386,41CURITI
478,0.09,410690205060222,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020506,ADMINISTRACAO REGIONAL DO PORTAO (R,410690205041,NOVO MUNDO,1,0,401,3,4.37,0,1.27,0.49,8.25,0,0,3.22,1.42,11.65,2.43,0,51.46,7.27,44.66,793.16,206,0,0,155,3,9,2,205,181,8,0,206,206,0,1,7,16,5,0,0,0,0,5,,9,9,46,13,6,11,0,15,31,32,14,663,7135,41CURITI
479,0.06,410690205060225,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020506,ADMINISTRACAO REGIONAL DO PORTAO (R,410690205041,NOVO MUNDO,1,0,401,3,0,0,0,0,0.43,0.43,0,3.1,1.31,8.09,2.55,0,44.26,7.8,35.74,951.89,235,0,0,198,4,0,0,235,234,0,1,235,235,0,1,7,11,6,0,0,0,0,6,,3,16,50,7,4,10,0,11,38,31,4,729,12234,41CURITI
480,0.07,410690205060226,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020506,ADMINISTRACAO REGIONAL DO PORTAO (R,410690205041,NOVO MUNDO,1,0,401,3,0,0,0,0,0.34,0.34,0,2.36,1.11,23.91,0.34,0,25.93,10.16,29.63,1060.62,297,0,0,83,150,0,0,297,296,0,1,297,297,0,0,18,53,1,0,0,0,0,1,,6,10,34,10,6,8,0,21,32,28,7,702,9544,41CURITI
