ID,AREA,CODSETOR,CODGR,NOMEGR,CODUF,NOMEUF,CODMESO,NOMEMESO,CODMICRO,NOMEMICR,CODRM,NOMERM,CODMUNIC,NOMEMUN,CODDISTR,NOMEDIST,CODSUBD,NOMESUBD,CODBAIRR,NOMEBAIR,SITUACAO,TIPO,REGIAO,ASSPREC,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,HAB8,HAB9,CHE1,CHE2,CHE3,CHE4,CHE5,CHE6,CHE7,V0003,V0004,V0008,V0009,V0010,V0014,V0017,V0018,V0030,V0031,V0036,V0048,V0402,V0494,V0495,V0496,V0497,V0525,V0526,V0527,V0528,V0529,V0580,V0581,V0582,V0583,V0584,V0585,V0586,V0587,V0602,V0603,V0604,V0605,V0611,VAR12,DENSDEMO,ARQUIVO
253,7.34,410690205080166,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0.63,0.63,0,23.42,30.7,0.63,11.08,3.55,1.46,18.35,5.7,0.32,60.44,6.16,42.72,921.84,316,1,2,261,2,2,0,242,9,210,2,281,316,0,1,19,38,18,0,0,1,0,18,,17,30,84,17,7,11,0,30,53,38,14,1123,153,41CURITI
259,0.56,410690205080167,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,2,0.63,0,0,3.16,11.39,0,0,3.7,1.19,21.52,14.56,1.9,72.78,4.97,51.9,743.17,158,0,0,123,4,1,0,153,54,86,0,158,158,0,0,13,21,23,0,0,1,2,26,,9,6,38,12,8,6,0,9,35,31,7,585,1036,41CURITI
260,5.15,410690205080165,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0.44,0,0,18.86,69.74,0,11.4,3.79,1.34,19.3,8.77,0.44,72.37,5.28,52.19,818.07,228,0,0,185,7,1,0,185,29,40,0,202,228,0,2,12,30,20,0,0,0,1,24,,12,25,62,15,5,11,0,22,32,29,36,863,167,41CURITI
261,1.76,410690205080162,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0,0,0,24.16,87.08,0,6.74,3.58,1.65,9.55,1.12,0,56.18,6.58,38.2,1425.04,178,0,0,153,0,0,0,135,11,12,0,166,178,0,1,5,11,2,0,0,0,0,3,,11,27,42,3,5,5,0,18,12,22,16,638,362,41CURITI
269,0.23,410690205080156,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,0,0,0,1.33,3.54,0,0,3.45,1.1,22.12,6.19,0.44,65.04,5.73,61.5,528.85,226,2,0,170,4,0,0,223,139,79,0,226,226,0,3,23,24,14,0,0,0,1,15,,12,16,59,18,7,16,0,25,45,38,31,780,3326,41CURITI
300,1.06,410690205080182,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,4.08,0,0,0.68,4.76,0,0.68,3.58,1.26,21.77,5.44,0,68.03,5.47,55.78,599.98,147,2,0,91,5,6,0,146,114,26,0,146,147,0,1,13,18,8,0,0,0,0,13,,12,13,28,15,6,4,0,18,19,31,14,526,494,41CURITI
301,0.42,410690205080163,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0,0,9.5,33.33,17.48,0,2.44,3.63,1.21,25.61,4.07,0,62.2,5.84,43.5,819.95,246,0,0,184,16,0,19,164,137,66,0,240,246,0,1,17,45,10,0,0,0,0,17,,10,20,70,13,7,12,3,15,32,49,8,892,2122,41CURITI
303,0.06,410690205080179,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0,0.6,3.47,0,0,0,0,3.83,1.17,25,1.79,0,53.57,6.67,59.52,489.96,168,0,1,33,111,0,5,168,167,1,0,168,168,0,2,11,29,3,0,0,0,0,3,,7,10,30,18,8,7,0,14,37,47,2,643,10509,41CURITI
306,0.03,410690205080153,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,1,401,1,0,0,48.57,0,2.6,0,0,3.61,1.08,22.08,11.69,1.3,83.12,4.45,80.52,272.53,77,0,0,68,2,0,34,77,34,41,0,77,77,0,0,8,9,9,0,0,0,1,9,,6,3,23,10,5,2,0,14,22,10,16,278,9849,41CURITI
308,0.53,410690205080111,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,0,0.34,5.29,1.02,25.17,0,1.36,3.57,1.15,29.25,4.76,0,56.12,6.62,52.38,545.22,294,0,1,123,85,0,11,291,134,86,0,290,294,0,1,29,56,14,0,0,0,0,12,,13,12,74,14,14,18,1,17,51,53,32,1051,1972,41CURITI
312,0.12,410690205080171,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0.56,0,21.85,2.81,3.37,2.81,0,3.78,1.1,29.21,3.37,0,57.3,6.48,39.33,605.15,178,0,0,58,93,1,33,173,133,39,5,178,178,0,1,14,37,6,0,0,0,0,6,,7,15,31,17,15,7,1,8,25,31,5,673,5390,41CURITI
313,1.3,410690205080164,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0,0,30.63,27.27,0,0,2.27,3.8,1.36,27.27,3.03,0,55.3,6.49,44.7,750.02,132,0,0,102,9,0,34,96,59,73,0,129,132,0,1,10,25,4,0,0,0,0,5,,9,12,25,4,7,5,0,8,20,25,6,501,386,41CURITI
314,0.06,410690205080170,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205073,UMBARA,1,0,401,3,0,0,0,0,0,0,0,3.58,1.17,27.65,1.76,0,48.82,7.21,47.65,626.08,170,0,0,16,137,0,0,170,54,116,0,170,170,0,3,10,34,3,0,0,0,0,2,,4,8,19,17,12,15,0,7,27,36,11,608,10074,41CURITI
318,0.09,410690205080145,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,0,0.45,1.25,0.45,5.88,0,0,3.9,1.16,14.48,6.79,0,58.37,6.08,51.13,593.26,221,0,1,135,25,0,2,220,92,116,0,221,221,0,1,13,18,15,0,0,0,0,16,,14,8,51,15,12,7,2,17,41,32,21,863,9624,41CURITI
319,0.1,410690205080151,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,0,0,0,0,3.35,0,0,3.62,1.17,17.15,7.11,0,63.6,5.85,56.9,547.89,239,0,0,139,24,0,0,239,82,149,0,239,239,0,2,17,22,17,0,0,0,0,22,,12,16,54,14,8,15,2,19,50,41,24,865,8914,41CURITI
320,0.06,410690205080146,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020508,ADMINISTRACAO REGIONAL DO BAIRRO NO,410690205065,SITIO CERCADO,1,0,401,3,0,0,27.87,0,0,0,0,3.67,1.2,22.86,5.71,0,63.43,5.86,49.14,626.25,175,0,0,118,4,0,34,175,89,86,0,175,175,0,1,14,25,10,0,0,0,0,13,,12,11,36,9,12,11,0,13,33,29,11,643,10796,41CURITI
325,0.11,410690205070022,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0,1.64,4.19,0.41,0,0,0.41,3.59,1.15,20.08,6.97,0,60.25,5.94,59.43,480.9,244,0,4,91,76,0,7,243,219,25,0,243,244,0,2,18,29,17,0,0,0,0,21,,14,12,60,11,11,8,0,26,57,45,17,875,7689,41CURITI
327,0.09,410690205070027,4,SUL,41,PARANA,4110,METROPOLITANA DE CURITIBA,41037,CURITIBA,17,CURITIBA,4106902,CURITIBA,410690205,CURITIBA,41069020507,ADMINISTRACAO REGIONAL PINHEIRINHO,410690205066,PINHEIRINHO,1,0,401,3,0.83,0,0,0,0,0,0,3.08,1.26,31.4,1.65,0,28.93,9.02,19.83,1290.22,121,1,0,44,40,1,0,121,112,9,0,121,121,0,0,13,25,2,0,0,0,0,4,,2,3,13,2,3,6,0,4,7,11,2,373,4029,41CURITI
